"filename", "language", "Database", "JSON", "C#", "comment", "blank", "total"
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DraggableTopbar.cs", "C#", 0, 0, 67, 7, 13, 87
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\D90ButtonEditor.cs", "C#", 0, 0, 38, 4, 11, 53
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMenu.cs", "C#", 0, 0, 47, 3, 21, 71
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMethods.cs", "C#", 0, 0, 138, 40, 22, 200
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\PauseMenu.cs", "C#", 0, 0, 36, 3, 8, 47
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\WindowController.cs", "C#", 0, 0, 127, 21, 24, 172
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Editor\RenameEditor.cs", "C#", 0, 0, 15, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\Dialogue.cs", "C#", 0, 0, 12, 0, 3, 15
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 0, 0, 15, 0, 3, 18
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueWindowController.cs", "C#", 0, 0, 94, 2, 16, 112
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryController.cs", "C#", 0, 0, 98, 0, 8, 106
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryPanel.cs", "C#", 0, 0, 29, 0, 5, 34
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\ItemController.cs", "C#", 0, 0, 189, 1, 25, 215
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Item.cs", "C#", 0, 0, 15, 3, 7, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\ItemSaveData.cs", "C#", 0, 0, 32, 4, 5, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Package.cs", "C#", 0, 0, 11, 0, 2, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\SingleItemPanelController.cs", "C#", 0, 0, 45, 0, 6, 51
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Types\IType.cs", "C#", 0, 0, 10, 0, 3, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\BlinkingLight.cs", "C#", 0, 0, 31, 0, 2, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\FollowPlayer.cs", "C#", 0, 0, 12, 1, 3, 16
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\RenameAttribute.cs", "C#", 0, 0, 15, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\NPCController.cs", "C#", 0, 0, 26, 0, 7, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\TaskReciever.cs", "C#", 0, 0, 31, 0, 8, 39
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\PlayerController.cs", "C#", 0, 0, 344, 15, 41, 400
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\BaseStates.cs", "C#", 0, 0, 83, 9, 20, 112
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\Controllers\StateController.cs", "C#", 0, 0, 62, 0, 7, 69
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\Controllers\StateStack.cs", "C#", 0, 0, 47, 4, 12, 63
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\ExtraStates.cs", "C#", 0, 0, 95, 5, 21, 121
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\PlayerState.cs", "C#", 0, 0, 12, 9, 4, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Respawn\RespawnData.cs", "C#", 0, 0, 12, 4, 3, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Respawn\RespawnPointController.cs", "C#", 0, 0, 32, 0, 5, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Saving\Save.cs", "C#", 0, 0, 6, 0, 3, 9
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\InventoryIsFullException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\InventorySlotOccupiedException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\ItemNotFoundException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\ItemQuantityRequestedLessThanStoredException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Storage\Storage.cs", "C#", 0, 0, 81, 3, 10, 94
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Database\TaskDatabaseAccess.cs", "C#", 0, 0, 21, 0, 4, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Task.cs", "C#", 0, 0, 41, 0, 5, 46
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiver.cs", "C#", 0, 0, 20, 0, 3, 23
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiverWindow.cs", "C#", 0, 0, 18, 0, 4, 22
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGoal.cs", "C#", 0, 0, 59, 0, 2, 61
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskStage.cs", "C#", 0, 0, 24, 0, 3, 27
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskBlerbController.cs", "C#", 0, 0, 33, 0, 4, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskCompletedSwitch.cs", "C#", 0, 0, 21, 0, 6, 27
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskLogController.cs", "C#", 0, 0, 91, 0, 13, 104
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskPanelController.cs", "C#", 0, 0, 52, 0, 8, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\manifest.json", "JSON", 0, 49, 0, 0, 1, 50
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\packages-lock.json", "JSON", 0, 424, 0, 0, 1, 425
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\TaskLog.sqlite", "Database", 4, 0, 0, 0, 0, 4
"Total", "-", 4, 473, 2748, 168, 470, 3863
