"filename", "language", "JSON", "Database", "C#", "comment", "blank", "total"
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DraggableTopbar.cs", "C#", 0, 0, 67, 7, 13, 87
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\D90ButtonEditor.cs", "C#", 0, 0, 38, 4, 11, 53
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMenu.cs", "C#", 0, 0, 47, 3, 21, 71
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMethods.cs", "C#", 0, 0, 138, 40, 22, 200
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\PauseMenu.cs", "C#", 0, 0, 36, 3, 8, 47
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\WindowController.cs", "C#", 0, 0, 127, 21, 24, 172
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Editor\RenameEditor.cs", "C#", 0, 0, 15, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Debug\DebugCommand.cs", "C#", 0, 0, 58, 0, 9, 67
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Debug\DebugController.cs", "C#", 0, 0, 64, 0, 12, 76
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\Dialogue.cs", "C#", 0, 0, 14, 3, 2, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueObserver.cs", "C#", 0, 0, 32, 3, 8, 43
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueReporter.cs", "C#", 0, 0, 55, 3, 9, 67
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 0, 0, 27, 0, 3, 30
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueWindowController.cs", "C#", 0, 0, 114, 2, 16, 132
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryController.cs", "C#", 0, 0, 181, 7, 20, 208
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryPanel.cs", "C#", 0, 0, 28, 0, 5, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventorySaveLoad.cs", "C#", 0, 0, 17, 0, 2, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\ItemController.cs", "C#", 0, 0, 294, 10, 37, 341
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Item.cs", "C#", 0, 0, 15, 3, 7, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\ItemSaveData.cs", "C#", 0, 0, 49, 4, 7, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Package.cs", "C#", 0, 0, 33, 0, 4, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\SingleItemPanelController.cs", "C#", 0, 0, 48, 0, 9, 57
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Types\IType.cs", "C#", 0, 0, 10, 0, 3, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootBlerbController.cs", "C#", 0, 0, 64, 0, 13, 77
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootObserver.cs", "C#", 0, 0, 32, 0, 9, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootReporter.cs", "C#", 0, 0, 60, 0, 8, 68
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootWindowController.cs", "C#", 0, 0, 129, 3, 17, 149
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\Quantity\QuantityWindowController.cs", "C#", 0, 0, 70, 0, 17, 87
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\BlinkingLight.cs", "C#", 0, 0, 31, 0, 2, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\FollowPlayer.cs", "C#", 0, 0, 12, 1, 3, 16
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\RenameAttribute.cs", "C#", 0, 0, 15, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\NPCController.cs", "C#", 0, 0, 77, 1, 13, 91
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\PlayerController.cs", "C#", 0, 0, 373, 15, 42, 430
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\BaseStates.cs", "C#", 0, 0, 93, 9, 21, 123
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\Controllers\StateController.cs", "C#", 0, 0, 62, 0, 7, 69
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\Controllers\StateStack.cs", "C#", 0, 0, 47, 4, 12, 63
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\ExtraStates.cs", "C#", 0, 0, 95, 5, 21, 121
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\PlayerState.cs", "C#", 0, 0, 12, 9, 4, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Respawn\RespawnData.cs", "C#", 0, 0, 12, 4, 3, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Respawn\RespawnPointController.cs", "C#", 0, 0, 32, 0, 5, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Saving\SaveLoad.cs", "C#", 0, 0, 25, 0, 3, 28
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\CannotStorePackageInPackageException.cs", "C#", 0, 0, 10, 0, 3, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\InventoryIsFullException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\InventorySlotOccupiedException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\ItemNotFoundException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\ItemQuantityRequestedLessThanStoredException.cs", "C#", 0, 0, 9, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\LootWindowIsOpenException.cs", "C#", 0, 0, 9, 0, 1, 10
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\PackageIsFullException.cs", "C#", 0, 0, 9, 0, 1, 10
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Storage\Storage.cs", "C#", 0, 0, 114, 3, 10, 127
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Vector2Int.cs", "C#", 0, 0, 25, 0, 5, 30
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Database\TaskDatabaseAccess.cs", "C#", 0, 0, 21, 0, 4, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Task.cs", "C#", 0, 0, 76, 0, 8, 84
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiver.cs", "C#", 0, 0, 28, 0, 5, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiverWindow.cs", "C#", 0, 0, 18, 0, 4, 22
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGoal.cs", "C#", 0, 0, 47, 0, 6, 53
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskReciever.cs", "C#", 0, 0, 42, 0, 6, 48
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskStage.cs", "C#", 0, 0, 24, 0, 3, 27
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskBlerbController.cs", "C#", 0, 0, 33, 0, 4, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskCompletedSwitch.cs", "C#", 0, 0, 21, 0, 6, 27
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskLogController.cs", "C#", 0, 0, 95, 0, 15, 110
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskPanelController.cs", "C#", 0, 0, 52, 0, 8, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\manifest.json", "JSON", 50, 0, 0, 0, 1, 51
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\packages-lock.json", "JSON", 431, 0, 0, 0, 1, 432
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\TaskLog.sqlite", "Database", 0, 4, 0, 0, 0, 4
"Total", "-", 481, 4, 3833, 197, 631, 5146
